Order,Item,Condition,Before,Disamb,Two,Main,Off,End
1,1,1,0,675,1195,1688,2796,3296
1,2,1,0,830,1195,1861,2991,3491
1,3,1,0,801,1286,1994,3166,3666
1,4,1,0,914,1306,2289,3209,3709
1,5,1,0,914,1306,2289,3419,3919
1,6,1,0,886,1307,1880,3054,3554
1,13,2,0,776,1395,2017,3148,3648
1,14,2,0,779,1284,2017,3370,3870
1,15,2,0,746,1385,2245,3361,3861
1,16,2,0,841,1418,2169,3248,3748
1,17,2,0,745,1337,2098,3244,3744
1,18,2,0,803,1758,2503,3630,4130
2,1,2,0,617,1149,1957,3057,3557
2,2,2,0,752,1304,1892,3138,3638
2,3,2,0,693,1230,1979,3084,3584
2,4,2,0,765,1302,1825,2904,3404
2,5,2,0,622,1502,2105,3145,3645
2,6,2,0,886,1314,2017,3107,3607
2,13,1,0,584,1092,1821,3020,3520
2,14,1,0,461,1048,1878,2826,3326
2,15,1,0,471,951,1822,2992,3492
2,16,1,0,528,1081,1789,3018,3518
2,17,1,0,625,1088,1857,2948,3448
2,18,1,0,617,1179,2152,3337,3837
