Order,Item,Condition,Before,Disamb,Two,Main,Off,End
1,7,4,199,1142,1407,2208,3379,3879
1,8,4,209,1167,1525,2493,3655,4155
1,9,4,180,1133,1403,2266,3446,3946
1,10,4,122,1536,1543,2468,3626,4126
1,11,4,78,1225,1380,2568,3729,4229
1,12,4,143,1367,1538,2306,3476,3976
1,19,3,91,857,993,1844,3004,3504
1,20,3,150,946,1115,1844,3121,3621
1,21,3,64,824,904,2027,3163,3663
1,22,3,83,939,1032,1980,3138,3638
1,23,3,86,850,942,1915,3085,3585
1,24,3,160,927,1013,2295,3402,3902
2,7,3,171,909,979,1720,2909,3409
2,8,3,57,758,927,1854,2946,3446
2,9,3,147,874,990,1717,2864,3364
2,10,3,88,815,957,1763,2895,3395
2,11,3,87,746,538,2118,3245,3745
2,12,3,110,841,1034,1743,2978,3478
2,19,4,59,976,1193,2046,3209,3709
2,20,4,190,1004,1346,2121,3227,3727
2,21,4,52,847,1255,2125,3273,3773
2,22,4,84,1107,1309,2096,3341,3841
2,23,4,109,992,1346,2204,3421,3921
2,24,4,133,1055,1316,2412,3515,4015
