Order,Item,Condition,Region,Onset,End
1,1,1,Before,0,675
1,2,1,Before,0,830
1,3,1,Before,0,801
1,4,1,Before,0,914
1,5,1,Before,0,914
1,6,1,Before,0,886
1,7,4,Before,199,1142
1,8,4,Before,209,1167
1,9,4,Before,180,1133
1,10,4,Before,122,1536
1,11,4,Before,78,1225
1,12,4,Before,143,1367
1,13,2,Before,0,776
1,14,2,Before,0,779
1,15,2,Before,0,746
1,16,2,Before,0,841
1,17,2,Before,0,745
1,18,2,Before,0,803
1,19,3,Before,91,857
1,20,3,Before,150,946
1,21,3,Before,64,824
1,22,3,Before,83,939
1,23,3,Before,86,850
1,24,3,Before,160,927
2,1,2,Before,0,617
2,2,2,Before,0,752
2,3,2,Before,0,693
2,4,2,Before,0,765
2,5,2,Before,0,622
2,6,2,Before,0,886
2,7,3,Before,171,909
2,8,3,Before,57,758
2,9,3,Before,147,874
2,10,3,Before,88,815
2,11,3,Before,87,746
2,12,3,Before,110,841
2,13,1,Before,0,584
2,14,1,Before,0,461
2,15,1,Before,0,471
2,16,1,Before,0,528
2,17,1,Before,0,625
2,18,1,Before,0,617
2,19,4,Before,59,976
2,20,4,Before,190,1004
2,21,4,Before,52,847
2,22,4,Before,84,1107
2,23,4,Before,109,992
2,24,4,Before,133,1055
1,1,1,Disamb,675,1195
1,2,1,Disamb,830,1195
1,3,1,Disamb,801,1286
1,4,1,Disamb,914,1306
1,5,1,Disamb,914,1306
1,6,1,Disamb,886,1307
1,7,4,Disamb,1142,1407
1,8,4,Disamb,1167,1525
1,9,4,Disamb,1133,1403
1,10,4,Disamb,1536,1543
1,11,4,Disamb,1225,1380
1,12,4,Disamb,1367,1538
1,13,2,Disamb,776,1395
1,14,2,Disamb,779,1284
1,15,2,Disamb,746,1385
1,16,2,Disamb,841,1418
1,17,2,Disamb,745,1337
1,18,2,Disamb,803,1758
1,19,3,Disamb,857,993
1,20,3,Disamb,946,1115
1,21,3,Disamb,824,904
1,22,3,Disamb,939,1032
1,23,3,Disamb,850,942
1,24,3,Disamb,927,1013
2,1,2,Disamb,617,1149
2,2,2,Disamb,752,1304
2,3,2,Disamb,693,1230
2,4,2,Disamb,765,1302
2,5,2,Disamb,622,1502
2,6,2,Disamb,886,1314
2,7,3,Disamb,909,979
2,8,3,Disamb,758,927
2,9,3,Disamb,874,990
2,10,3,Disamb,815,957
2,11,3,Disamb,746,538
2,12,3,Disamb,841,1034
2,13,1,Disamb,584,1092
2,14,1,Disamb,461,1048
2,15,1,Disamb,471,951
2,16,1,Disamb,528,1081
2,17,1,Disamb,625,1088
2,18,1,Disamb,617,1179
2,19,4,Disamb,976,1193
2,20,4,Disamb,1004,1346
2,21,4,Disamb,847,1255
2,22,4,Disamb,1107,1309
2,23,4,Disamb,992,1346
2,24,4,Disamb,1055,1316
1,1,1,Two,1195,1688
1,2,1,Two,1195,1861
1,3,1,Two,1286,1994
1,4,1,Two,1306,2289
1,5,1,Two,1306,2289
1,6,1,Two,1307,1880
1,7,4,Two,1407,2208
1,8,4,Two,1525,2493
1,9,4,Two,1403,2266
1,10,4,Two,1543,2468
1,11,4,Two,1380,2568
1,12,4,Two,1538,2306
1,13,2,Two,1395,2017
1,14,2,Two,1284,2017
1,15,2,Two,1385,2245
1,16,2,Two,1418,2169
1,17,2,Two,1337,2098
1,18,2,Two,1758,2503
1,19,3,Two,993,1844
1,20,3,Two,1115,1844
1,21,3,Two,904,2027
1,22,3,Two,1032,1980
1,23,3,Two,942,1915
1,24,3,Two,1013,2295
2,1,2,Two,1149,1957
2,2,2,Two,1304,1892
2,3,2,Two,1230,1979
2,4,2,Two,1302,1825
2,5,2,Two,1502,2105
2,6,2,Two,1314,2017
2,7,3,Two,979,1720
2,8,3,Two,927,1854
2,9,3,Two,990,1717
2,10,3,Two,957,1763
2,11,3,Two,538,2118
2,12,3,Two,1034,1743
2,13,1,Two,1092,1821
2,14,1,Two,1048,1878
2,15,1,Two,951,1822
2,16,1,Two,1081,1789
2,17,1,Two,1088,1857
2,18,1,Two,1179,2152
2,19,4,Two,1193,2046
2,20,4,Two,1346,2121
2,21,4,Two,1255,2125
2,22,4,Two,1309,2096
2,23,4,Two,1346,2204
2,24,4,Two,1316,2412
1,1,1,Main,1688,2796
1,2,1,Main,1861,2991
1,3,1,Main,1994,3166
1,4,1,Main,2289,3209
1,5,1,Main,2289,3419
1,6,1,Main,1880,3054
1,7,4,Main,2208,3379
1,8,4,Main,2493,3655
1,9,4,Main,2266,3446
1,10,4,Main,2468,3626
1,11,4,Main,2568,3729
1,12,4,Main,2306,3476
1,13,2,Main,2017,3148
1,14,2,Main,2017,3370
1,15,2,Main,2245,3361
1,16,2,Main,2169,3248
1,17,2,Main,2098,3244
1,18,2,Main,2503,3630
1,19,3,Main,1844,3004
1,20,3,Main,1844,3121
1,21,3,Main,2027,3163
1,22,3,Main,1980,3138
1,23,3,Main,1915,3085
1,24,3,Main,2295,3402
2,1,2,Main,1957,3057
2,2,2,Main,1892,3138
2,3,2,Main,1979,3084
2,4,2,Main,1825,2904
2,5,2,Main,2105,3145
2,6,2,Main,2017,3107
2,7,3,Main,1720,2909
2,8,3,Main,1854,2946
2,9,3,Main,1717,2864
2,10,3,Main,1763,2895
2,11,3,Main,2118,3245
2,12,3,Main,1743,2978
2,13,1,Main,1821,3020
2,14,1,Main,1878,2826
2,15,1,Main,1822,2992
2,16,1,Main,1789,3018
2,17,1,Main,1857,2948
2,18,1,Main,2152,3337
2,19,4,Main,2046,3209
2,20,4,Main,2121,3227
2,21,4,Main,2125,3273
2,22,4,Main,2096,3341
2,23,4,Main,2204,3421
2,24,4,Main,2412,3515
1,1,1,Off,2796,3296
1,2,1,Off,2991,3491
1,3,1,Off,3166,3666
1,4,1,Off,3209,3709
1,5,1,Off,3419,3919
1,6,1,Off,3054,3554
1,7,4,Off,3379,3879
1,8,4,Off,3655,4155
1,9,4,Off,3446,3946
1,10,4,Off,3626,4126
1,11,4,Off,3729,4229
1,12,4,Off,3476,3976
1,13,2,Off,3148,3648
1,14,2,Off,3370,3870
1,15,2,Off,3361,3861
1,16,2,Off,3248,3748
1,17,2,Off,3244,3744
1,18,2,Off,3630,4130
1,19,3,Off,3004,3504
1,20,3,Off,3121,3621
1,21,3,Off,3163,3663
1,22,3,Off,3138,3638
1,23,3,Off,3085,3585
1,24,3,Off,3402,3902
2,1,2,Off,3057,3557
2,2,2,Off,3138,3638
2,3,2,Off,3084,3584
2,4,2,Off,2904,3404
2,5,2,Off,3145,3645
2,6,2,Off,3107,3607
2,7,3,Off,2909,3409
2,8,3,Off,2946,3446
2,9,3,Off,2864,3364
2,10,3,Off,2895,3395
2,11,3,Off,3245,3745
2,12,3,Off,2978,3478
2,13,1,Off,3020,3520
2,14,1,Off,2826,3326
2,15,1,Off,2992,3492
2,16,1,Off,3018,3518
2,17,1,Off,2948,3448
2,18,1,Off,3337,3837
2,19,4,Off,3209,3709
2,20,4,Off,3227,3727
2,21,4,Off,3273,3773
2,22,4,Off,3341,3841
2,23,4,Off,3421,3921
2,24,4,Off,3515,4015
